index,dist_m,segment_dist_m,speed_m_s,target_m_s,pwm_l,pwm_r,angle_err_deg,angle_err_rad,radius_m
83,0.858,0.010000000000000009,0.721,0.9,419,75,-0.11,-0.0019198621771937625,-5.208707228462034
84,0.868,0.010000000000000009,0.725,0.9,343,168,-0.055,-0.0009599310885968813,-10.417414456924067
85,0.878,0.010000000000000009,0.725,0.9,228,283,-0.224,-0.003909537524467298,-2.5578472996911774
86,0.889,0.01100000000000001,0.729,0.9,316,140,-0.069,-0.0012042771838760874,-9.134109777447915
87,0.899,0.010000000000000009,0.735,0.9,352,74,-0.155,-0.0027052603405912107,-3.6965019040698306
88,0.909,0.010000000000000009,0.725,0.9,432,31,0.019,0.0003316125578789226,30.155673427938094
89,0.919,0.010000000000000009,0.724,0.9,346,123,-0.332,-0.005794493116621174,-1.7257764913579028
90,0.929,0.010000000000000009,0.722,0.9,174,640,-0.003,-5.235987755982989e-05,-190.98593171027457
91,0.94,0.010999999999999899,0.735,0.9,567,100,0.416,0.007260569688296411,1.5150326313555282
92,0.95,0.010000000000000009,0.737,0.9,384,78,-0.281,-0.004904375198104067,-2.0389957122093367
93,0.96,0.010000000000000009,0.734,0.9,559,44,-0.5,-0.008726646259971648,-1.1459155902616474
94,0.971,0.01100000000000001,0.741,0.9,939,479,-0.8,-0.013962634015954637,-0.7878169683048826
95,0.981,0.010000000000000009,0.729,0.9,639,154,-1.472,-0.02569124658935653,-0.3892376325617009
96,0.991,0.010000000000000009,0.731,0.9,595,144,-1.148,-0.0200363798128949,-0.49909215603730295
97,1.001,0.009999999999999898,0.729,0.9,1159,677,-1.192,-0.020804324683772406,-0.4806692912171287
98,1.012,0.01100000000000012,0.749,0.9,465,12,-1.803,-0.03146828641345776,-0.3495582776727191
99,1.022,0.010000000000000009,0.738,0.9,494,5,-1.981,-0.03457497248200767,-0.2892265497884016
100,1.032,0.010000000000000009,0.737,0.9,807,301,-2.153,-0.037576938795437914,-0.2661206665726074
101,1.043,0.010999999999999899,0.73,0.9,957,440,-2.27,-0.03961897402027128,-0.2776447465391629
102,1.053,0.010000000000000009,0.729,0.9,559,56,-2.895,-0.05052728184523584,-0.1979128826013208
103,1.063,0.010000000000000009,0.745,0.9,1059,586,-2.843,-0.04961971063419879,-0.20153281573366996
104,1.073,0.010000000000000009,0.729,0.9,1065,524,-3.28,-0.05724679946541401,-0.17468225461305603
105,1.084,0.01100000000000012,0.696,0.9,709,137,-4.818,-0.08408996336108679,-0.13081228199334008
106,1.094,0.010000000000000009,0.712,0.9,1599,1159,-4.439,-0.07747516549602829,-0.12907361908781792
107,1.105,0.010999999999999899,0.699,0.9,1066,543,-4.787,-0.08354891129296856,-0.13165940560766654
108,1.115,0.010000000000000009,0.736,0.9,953,459,-5.184,-0.09047786842338605,-0.11052426603603852
109,1.126,0.010999999999999899,0.736,0.9,1599,1394,-4.984,-0.08698720991939739,-0.12645537211956254
110,1.136,0.010000000000000009,0.707,0.9,643,198,-6.782,-0.11836822987025543,-0.08448212844748212
111,1.146,0.010000000000000009,0.783,0.9,545,141,-6.24,-0.10890854532444617,-0.09182015947609354
112,1.157,0.01100000000000012,0.79,0.9,268,140,-4.772,-0.08328711190516941,-0.1320732553738291
113,1.167,0.010000000000000009,0.783,0.9,754,349,-3.177,-0.05544911033585985,-0.18034554458005153
114,1.178,0.010999999999999899,0.768,0.9,720,263,-2.476,-0.0432143522793796,-0.25454506245714853
115,1.188,0.010000000000000009,0.765,0.9,62,405,-2.539,-0.04431390970813603,-0.22566277870453869
116,1.199,0.01100000000000012,0.751,0.9,1233,743,-1.203,-0.020996310901491785,-0.5239015583074916
117,1.209,0.010000000000000009,0.748,0.9,439,60,-1.754,-0.03061307507998054,-0.32665780794231686
118,1.219,0.010000000000000009,0.721,0.9,950,361,-1.624,-0.028344147052387914,-0.3528065240953348
119,1.23,0.010999999999999899,0.707,0.9,526,84,-1.499,-0.026162485487395002,-0.420449349328819
120,1.241,0.01100000000000012,0.715,0.9,587,73,-1.402,-0.0244695161129605,-0.4495389262795382
121,1.251,0.009999999999999787,0.725,0.9,614,135,-0.554,-0.009669124056048587,-1.034219846806518
122,1.261,0.010000000000000009,0.729,0.9,245,229,-0.822,-0.014346606451393388,-0.6970289478477175
123,1.271,0.010000000000000009,0.729,0.9,547,41,-0.461,-0.008045967851693859,-1.2428585577675135
124,1.281,0.010000000000000009,0.728,0.9,1130,566,-0.465,-0.008115781021773632,-1.2321673013566101
125,1.292,0.01100000000000012,0.734,0.9,339,225,-1.164,-0.020315632493213994,-0.5414549610342891
126,1.302,0.010000000000000009,0.723,0.9,180,360,-0.613,-0.01069886831472524,-0.9346782954825836
127,1.312,0.010000000000000009,0.738,0.9,382,117,-0.083,-0.0014486232791552935,-6.903105965431611
128,1.323,0.010999999999999899,0.739,0.9,454,52,-0.19,-0.0033161255787892262,-3.3171240770731565
129,1.333,0.010000000000000009,0.741,0.9,174,347,-0.575,-0.010035643198967395,-0.9964483393579543
130,1.343,0.010000000000000009,0.737,0.9,188,365,-0.147,-0.0025656340004316645,-3.897672075719889
131,1.354,0.01100000000000012,0.748,0.9,60,548,0.069,0.0012042771838760874,9.134109777448007
132,1.364,0.010000000000000009,0.743,0.9,42,467,0.594,0.010367255756846317,0.9645754126781545
133,1.374,0.010000000000000009,0.737,0.9,49,471,0.628,0.01096066770252439,0.9123531769599104
134,1.385,0.010999999999999899,0.751,0.9,211,687,0.317,0.005532693728822024,1.9881816234823337
135,1.396,0.010999999999999899,0.761,0.9,45,425,0.966,0.016859880574265223,0.6524364126748444
136,1.406,0.010000000000000009,0.75,0.9,13,488,1.04,0.01815142422074103,0.5509209568565612
137,1.417,0.01100000000000012,0.751,0.9,131,594,1.146,0.020001473227855015,0.5499594892180737
138,1.427,0.010000000000000009,0.751,0.9,346,850,1.419,0.02476622208579954,0.4037757541443437
139,1.438,0.010999999999999899,0.743,0.9,245,286,1.308,0.02282890661608583,0.48184524055344014
140,1.448,0.010000000000000009,0.748,0.9,504,1005,1.147,0.02001892652037496,0.49952728433376087
141,1.459,0.01100000000000012,0.763,0.9,126,298,1.455,0.025394540616517497,0.4331639688274312
142,1.469,0.010000000000000009,0.764,0.9,177,649,1.726,0.030124382889422128,0.3319570076076615
143,1.479,0.010000000000000009,0.772,0.9,177,650,1.751,0.030560715202420707,0.327217472947358
144,1.49,0.010999999999999899,0.767,0.9,81,396,1.93,0.03368485456349056,0.32655625629217605
145,1.501,0.010999999999999899,0.762,0.9,356,850,1.653,0.028850292535466268,0.38127862954863867
146,1.512,0.01100000000000012,0.766,0.9,110,559,2.109,0.03680899392456041,0.29884000694353363
147,1.522,0.010000000000000009,0.779,0.9,465,889,1.897,0.033108895910332434,0.30203362948382906
148,1.532,0.010000000000000009,0.779,0.9,486,932,1.924,0.0335801348083709,0.2977951118143574
149,1.542,0.010000000000000009,0.777,0.9,153,589,2.157,0.037646751965517686,0.2656271651046935
